Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
2867.006,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
2867.006,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
2867.006,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
2871.423,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,48.0,CoordY,207.0,,
2896.427,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
2896.427,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
2896.427,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
2899.594,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,55.0,CoordY,211.0,,
2924.921,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
2924.921,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
2924.921,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
2929.2329999999997,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,30.0,CoordY,206.0,,
2955.5290000000005,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
2955.5290000000005,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
2955.5290000000005,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
2975.816,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,8.0,CoordY,210.0,,
2997.0429999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
2997.0429999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 1,0.0,,,,,,
2997.0429999999997,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
3005.039,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,3.0,CoordY,220.0,,
3025.796,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 3,2.0,,,,,,
3025.796,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
3025.796,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
3031.337,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,48.0,CoordY,211.0,,
3052.7009999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
3052.7009999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
3052.7009999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
3058.677,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,48.0,CoordY,210.0,,
3080.446,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
3080.446,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 1,0.0,,,,,,
3080.446,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
3084.0170000000003,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 1,0.0,CoordX,34.0,CoordY,210.0,,
3109.022,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
3109.022,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 1,0.0,,,,,,
3109.022,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
3112.074,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,19.0,CoordY,207.0,,
3132.975,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
3132.975,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 3,2.0,,,,,,
3132.975,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
3145.5409999999997,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,11.0,CoordY,226.0,,
3166.5159999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 3,2.0,,,,,,
3166.5159999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
3166.5159999999996,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
3171.782,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,11.0,CoordY,210.0,,
